id,value
id_0,25.3538328474
id_1,60.3593009473
id_2,19.2738784652
id_3,27.3248668377
id_4,9.1199913252
id_5,34.979485465
id_6,38.2716468301
id_7,15.3563404554
id_8,46.6094648152
id_9,32.085447998
id_10,37.6663872003
id_11,57.0843630764
id_12,35.3619594887
id_13,40.2103488537
id_14,25.4056911808
id_15,11.4972824886
id_16,51.481879759
id_17,21.2909994386
id_18,18.2182838718
id_19,18.5459170449
id_20,13.7602722969
id_21,27.1528838705
id_22,35.5681295465
id_23,8.18322415736
id_24,56.6874113041
id_25,43.0545707018
id_26,27.1797195015
id_27,8.193327804
id_28,27.8898074444
id_29,34.4302960058
id_30,17.3063874665
id_31,10.6214171822
id_32,15.5341125364
id_33,5.27531581136
id_34,17.0024155506
id_35,37.9911394652
id_36,18.4869121245
id_37,27.2489076691
id_38,5.47312286451
id_39,58.5580785315
id_40,46.0628341206
id_41,15.5407621161
id_42,48.2850918868
id_43,17.0067307818
id_44,42.5903405603
id_45,49.9519517889
id_46,59.9183423863
id_47,38.7645337914
id_48,49.881036459
id_49,40.3768777364
id_50,29.0405263442
id_51,23.5483738973
id_52,39.4057443794
id_53,24.0351357121
id_54,37.1134279107
id_55,38.661172802
id_56,23.4999941822
id_57,20.7140102486
id_58,36.4341388633
id_59,29.9742507278
id_60,14.415300865
id_61,22.1665614445
id_62,30.2780461607
id_63,53.4944161999
id_64,47.5800795147
id_65,25.2834227994
id_66,39.648140303
id_67,53.1828475081
id_68,26.6894605205
id_69,37.1480249855
id_70,63.3232681383
id_71,51.7276037046
id_72,42.2641999295
id_73,10.3074448753
id_74,10.9151933342
id_75,34.4246709364
id_76,59.0754125987
id_77,2.21575636001
id_78,43.0427441164
id_79,38.8931558612
id_80,7.00508478425
id_81,21.1356941454
id_82,6.62638447133
id_83,32.5591851285
id_84,9.59728969646
id_85,4.46849929303
id_86,15.1189178788
id_87,10.8045555836
id_88,12.2658406151
id_89,26.8939136855
id_90,29.3190824451
id_91,10.2571698175
id_92,12.7301170612
id_93,6.47813802355
id_94,35.3018665892
id_95,15.0998858993
id_96,14.3995313892
id_97,7.73099970125
id_98,9.71192731255
id_99,3.06073980228
id_100,11.8281765984
id_101,17.2955463653
id_102,10.1616692156
id_103,4.37340296646
id_104,12.8315226643
id_105,35.8882805394
id_106,26.551368862
id_107,6.90516554384
id_108,15.4396732547
id_109,15.233074883
id_110,13.1472376688
id_111,16.3527918511
id_112,12.1568194772
id_113,27.2837993186
id_114,20.867252729
id_115,14.2224491505
id_116,7.9136142693
id_117,43.4206112143
id_118,28.2379083231
id_119,0.536474922123
id_120,0.9974113805
id_121,10.3246159849
id_122,14.5526388309
id_123,14.2664482759
id_124,5.60245803959
id_125,25.089818188
id_126,20.0517102967
id_127,12.4455043775
id_128,18.9005059302
id_129,17.0179256553
id_130,3.13746000658
id_131,35.0015331841
id_132,13.0315227399
id_133,25.2805732489
id_134,22.4563989876
id_135,19.5776371145
id_136,9.01967323777
id_137,18.6326162066
id_138,76.198596305
id_139,62.434799266
id_140,26.0045329011
id_141,16.0165593586
id_142,23.823920515
id_143,7.14632529568
id_144,9.60563051066
id_145,9.4276395259
id_146,20.1826242743
id_147,6.44716394386
id_148,12.7826904117
id_149,15.8191790755
id_150,49.790329174
id_151,20.5021047333
id_152,23.3277997041
id_153,14.4571774019
id_154,13.5006798003
id_155,26.5306381521
id_156,20.6537081402
id_157,32.9619543114
id_158,2.48320157372
id_159,18.7735782509
id_160,42.4787970605
id_161,17.5694337482
id_162,54.8297796299
id_163,18.2399432027
id_164,35.4291172684
id_165,23.2523569869
id_166,20.6032822184
id_167,0.1132196352
id_168,64.8830724705
id_169,17.1788721467
id_170,16.4942653268
id_171,66.6610848456
id_172,19.9712919261
id_173,1.3677287042
id_174,22.3058190668
id_175,1.3530878758
id_176,5.1996407653
id_177,17.6344333703
id_178,19.0690991709
id_179,19.9826543506
id_180,41.5307005634
id_181,26.1141223403
id_182,27.4785706418
id_183,11.3352184379
id_184,7.6442961307
id_185,40.0533530872
id_186,35.3758774781
id_187,31.9598499981
id_188,15.4043621028
id_189,20.575278984
id_190,13.5678285273
id_191,13.7405389725
id_192,31.9335542777
id_193,76.0334873638
id_194,28.2286192744
id_195,10.4178260835
id_196,60.1407885072
id_197,13.9332848144
id_198,18.4941598609
id_199,22.3354237362
id_200,124.08551725
id_201,25.1520011005
id_202,56.7382510336
id_203,4.1746647584
id_204,61.3317367475
id_205,34.4218460398
id_206,15.9512272898
id_207,12.8283827841
id_208,62.9979120295
id_209,12.6536534107
id_210,26.9990514227
id_211,71.0918049841
id_212,19.4228897651
id_213,114.655556094
id_214,38.7795718587
id_215,82.4699544436
id_216,91.4589567468
id_217,69.4607958013
id_218,27.6886246175
id_219,17.687736628
id_220,30.6171368422
id_221,54.1337846418
id_222,27.5855429227
id_223,38.7648897588
id_224,42.3973679056
id_225,6.8249312675
id_226,2.80629614109
id_227,68.1932524108
id_228,27.110634976
id_229,0.6765386048
id_230,39.2392452062
id_231,14.1730522188
id_232,20.6129841877
id_233,7.1421653453
id_234,10.7103474423
id_235,20.8724080908
id_236,11.531143826
id_237,-0.780562549633
id_238,20.2056865889
id_239,-0.190811976
